HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
Tuckyorose 1005846500583321601.hashtags 1011.25000000000000249525  .14285714285714285714  .00014126787921596327  2 14 4 28315
StandwithUkraine 1005846500583321601.hashtags 1348.33333333333336847539  .14285714285714285714  .00010595090941197245  2 14 3 28315
StandwithUkraine 1005846500583321601.hashtags 1348.33333333333336847539  .14285714285714285714  .00010595090941197245  2 14 3 28315
girlpower 1005846500583321601.hashtags 2022.50000000000043449367  .07142857142857142857  .00003531696980399081  1 14 1 28315
StandWithUkraine 1005846500583321601.hashtags 28.40589887640449438433  .35714285714285714285  .01257284125022073106  5 14 356 28315
StandWithUkraine 1005846500583321601.hashtags 28.40589887640449438433  .35714285714285714285  .01257284125022073106  5 14 356 28315
StandWithUkraine 1005846500583321601.hashtags 28.40589887640449438433  .35714285714285714285  .01257284125022073106  5 14 356 28315
StandWithUkraine 1005846500583321601.hashtags 28.40589887640449438433  .35714285714285714285  .01257284125022073106  5 14 356 28315
MLKDay 100588178.hashtags 349.56790123456790301710  .33333333333333333333  .00095355818470775207  1 3 27 28315
AprilFoolsDay 100588178.hashtags 3775.33333333333350303456  .66666666666666666666  .00017658484901995408  2 3 5 28315
AprilFoolsDay 100588178.hashtags 3775.33333333333350303456  .66666666666666666666  .00017658484901995408  2 3 5 28315
HIPPA 1006165181871910912.hashtags 4045.00000000000086898735  .14285714285714285714  .00003531696980399081  1 7 1 28315
TrumpCovid19 1006165181871910912.hashtags 4045.00000000000086898735  .14285714285714285714  .00003531696980399081  1 7 1 28315
TrumpIsANationalDisgrace 1006165181871910912.hashtags 4045.00000000000086898735  .14285714285714285714  .00003531696980399081  1 7 1 28315
Trumprally 1006165181871910912.hashtags 2022.50000000000014815823  .14285714285714285714  .00007063393960798163  1 7 2 28315
TrumpRally 1006165181871910912.hashtags 86.06382978723404289517  .14285714285714285714  .00165989758078756842  1 7 47 28315
Maddow 1006165181871910912.hashtags 202.25000000000000049905  .14285714285714285714  .00070633939607981635  1 7 20 28315
AbbottFailedTexasAgain 1006165181871910912.hashtags 2022.50000000000014815823  .14285714285714285714  .00007063393960798163  1 7 2 28315
FridaysForFuture 1006419421244678144.hashtags 298.05263157894737169069  .26315789473684210526  .00088292424509977043  5 19 25 28315
ClimateStrike 1006419421244678144.hashtags 240.36502546689304019312  .26315789473684210526  .00109482606392371534  5 19 31 28315
